1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 1C0000002C2F6B21
Is Mission Active?  true
Mission Start:  Fri Jan 11 09:01:00 CST 2013
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1145
Total Samples:  8481
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
2/11/13 9:01:00 PM,C,6.5
2/12/13 1:01:00 AM,C,6.5
2/12/13 5:01:00 AM,C,6.5
2/12/13 9:01:00 AM,C,6.5
2/12/13 1:01:00 PM,C,6.5
2/12/13 5:01:00 PM,C,6.5
2/12/13 9:01:00 PM,C,6.5
2/13/13 1:01:00 AM,C,6.5
2/13/13 5:01:00 AM,C,6.5
2/13/13 9:01:00 AM,C,6.5
2/13/13 1:01:00 PM,C,6.5
2/13/13 5:01:00 PM,C,6.5
2/13/13 9:01:00 PM,C,6.5
2/14/13 1:01:00 AM,C,6.5
2/14/13 5:01:00 AM,C,6.5
2/14/13 9:01:00 AM,C,6.5
2/14/13 1:01:00 PM,C,6.5
2/14/13 5:01:00 PM,C,6.5
2/14/13 9:01:00 PM,C,6.5
2/15/13 1:01:00 AM,C,6.5
2/15/13 5:01:00 AM,C,6.5
2/15/13 9:01:00 AM,C,6
2/15/13 1:01:00 PM,C,6.5
2/15/13 5:01:00 PM,C,6.5
2/15/13 9:01:00 PM,C,6.5
2/16/13 1:01:00 AM,C,6.5
2/16/13 5:01:00 AM,C,6.5
2/16/13 9:01:00 AM,C,6.5
2/16/13 1:01:00 PM,C,6.5
2/16/13 5:01:00 PM,C,6.5
2/16/13 9:01:00 PM,C,6
2/17/13 1:01:00 AM,C,6
2/17/13 5:01:00 AM,C,6
2/17/13 9:01:00 AM,C,6
2/17/13 1:01:00 PM,C,6
2/17/13 5:01:00 PM,C,6
2/17/13 9:01:00 PM,C,6
2/18/13 1:01:00 AM,C,6
2/18/13 5:01:00 AM,C,6
2/18/13 9:01:00 AM,C,6
2/18/13 1:01:00 PM,C,6
2/18/13 5:01:00 PM,C,6
2/18/13 9:01:00 PM,C,6
2/19/13 1:01:00 AM,C,6
2/19/13 5:01:00 AM,C,6
2/19/13 9:01:00 AM,C,6
2/19/13 1:01:00 PM,C,6
2/19/13 5:01:00 PM,C,5.5
2/19/13 9:01:00 PM,C,6
2/20/13 1:01:00 AM,C,5.5
2/20/13 5:01:00 AM,C,5.5
2/20/13 9:01:00 AM,C,5.5
2/20/13 1:01:00 PM,C,5.5
2/20/13 5:01:00 PM,C,5.5
2/20/13 9:01:00 PM,C,5.5
2/21/13 1:01:00 AM,C,5.5
2/21/13 5:01:00 AM,C,5.5
2/21/13 9:01:00 AM,C,5.5
2/21/13 1:01:00 PM,C,5.5
2/21/13 5:01:00 PM,C,5.5
2/21/13 9:01:00 PM,C,5.5
2/22/13 1:01:00 AM,C,5.5
2/22/13 5:01:00 AM,C,5.5
2/22/13 9:01:00 AM,C,5.5
2/22/13 1:01:00 PM,C,5.5
2/22/13 5:01:00 PM,C,5.5
2/22/13 9:01:00 PM,C,5.5
2/23/13 1:01:00 AM,C,5.5
2/23/13 5:01:00 AM,C,5.5
2/23/13 9:01:00 AM,C,5.5
2/23/13 1:01:00 PM,C,5.5
2/23/13 5:01:00 PM,C,5.5
2/23/13 9:01:00 PM,C,5.5
2/24/13 1:01:00 AM,C,5.5
2/24/13 5:01:00 AM,C,5.5
2/24/13 9:01:00 AM,C,5.5
2/24/13 1:01:00 PM,C,5.5
2/24/13 5:01:00 PM,C,5.5
2/24/13 9:01:00 PM,C,5.5
2/25/13 1:01:00 AM,C,6
2/25/13 5:01:00 AM,C,5.5
2/25/13 9:01:00 AM,C,6
2/25/13 1:01:00 PM,C,6
2/25/13 5:01:00 PM,C,6
2/25/13 9:01:00 PM,C,5.5
2/26/13 1:01:00 AM,C,5
2/26/13 5:01:00 AM,C,5
2/26/13 9:01:00 AM,C,5
2/26/13 1:01:00 PM,C,4.5
2/26/13 5:01:00 PM,C,4.5
2/26/13 9:01:00 PM,C,5
2/27/13 1:01:00 AM,C,5
2/27/13 5:01:00 AM,C,5
2/27/13 9:01:00 AM,C,5
2/27/13 1:01:00 PM,C,5
2/27/13 5:01:00 PM,C,5
2/27/13 9:01:00 PM,C,5
2/28/13 1:01:00 AM,C,5
2/28/13 5:01:00 AM,C,5
2/28/13 9:01:00 AM,C,5
2/28/13 1:01:00 PM,C,5
2/28/13 5:01:00 PM,C,5
2/28/13 9:01:00 PM,C,5
3/1/13 1:01:00 AM,C,5
3/1/13 5:01:00 AM,C,5
3/1/13 9:01:00 AM,C,5
3/1/13 1:01:00 PM,C,5
3/1/13 5:01:00 PM,C,5
3/1/13 9:01:00 PM,C,5
3/2/13 1:01:00 AM,C,5
3/2/13 5:01:00 AM,C,5
3/2/13 9:01:00 AM,C,5.5
3/2/13 1:01:00 PM,C,5
3/2/13 5:01:00 PM,C,5
3/2/13 9:01:00 PM,C,5.5
3/3/13 1:01:00 AM,C,5.5
3/3/13 5:01:00 AM,C,5.5
3/3/13 9:01:00 AM,C,5.5
3/3/13 1:01:00 PM,C,5.5
3/3/13 5:01:00 PM,C,5
3/3/13 9:01:00 PM,C,5.5
3/4/13 1:01:00 AM,C,5.5
